site_name,Latitude,Longitude
1,33.26417,-81.63666
2,33.26417,-81.63666
3,33.26417,-81.63666
4,33.26417,-81.63666
5,33.26417,-81.63666
6,33.26417,-81.63666
7,33.26417,-81.63666
8,33.26417,-81.63666
9,33.26417,-81.63666
10,33.26417,-81.63666
11,33.26417,-81.63666
12,33.2016,-81.7532
13,33.2016,-81.7532
14,33.2016,-81.7532
15,33.2016,-81.7532
16,33.2016,-81.7532
17,33.2016,-81.7532
18,33.2016,-81.7532
19,33.26417,-81.63666
20,33.2016,-81.7532
21,33.2016,-81.7532
22,33.2016,-81.7532
23,33.2016,-81.7532
24,33.2016,-81.7532
25,33.2016,-81.7532
26,33.26417,-81.63666
27,33.2016,-81.7532
28,33.26417,-81.63666
29,33.2016,-81.7532
30,33.2016,-81.7532
31,33.2016,-81.7532
32,33.26417,-81.63666
33,33.2016,-81.7532
34,33.2016,-81.7532
35,33.2016,-81.7532
36,33.2016,-81.7532
37,33.2016,-81.7532
38,33.2016,-81.7532
39,33.2016,-81.7532
40,33.2016,-81.7532
41,33.2016,-81.7532
42,33.2016,-81.7532
43,33.2016,-81.7532
44,33.2016,-81.7532
45,33.26417,-81.63666
46,33.26417,-81.63666
47,33.26417,-81.63666
48,33.26417,-81.63666
49,33.26417,-81.63666
50,33.26417,-81.63666
51,33.26417,-81.63666
52,33.26417,-81.63666
53,33.26417,-81.63666
54,33.26417,-81.63666
55,33.26417,-81.63666
56,33.2016,-81.7532
57,33.2016,-81.7532
58,33.2016,-81.7532
59,33.2016,-81.7532
60,33.2016,-81.7532
61,33.2016,-81.7532
62,33.2016,-81.7532
63,33.26417,-81.63666
64,33.2016,-81.7532
65,33.2016,-81.7532
66,33.2016,-81.7532
67,33.2016,-81.7532
68,33.2016,-81.7532
69,33.2016,-81.7532
70,33.26417,-81.63666
71,33.2016,-81.7532
72,33.26417,-81.63666
73,33.2016,-81.7532
74,33.2016,-81.7532
75,33.2016,-81.7532
76,33.26417,-81.63666
77,33.2016,-81.7532
78,33.2016,-81.7532
79,33.2016,-81.7532
80,33.2016,-81.7532
81,33.2016,-81.7532
82,33.2016,-81.7532
83,33.2016,-81.7532
84,33.2016,-81.7532
85,33.2016,-81.7532
86,33.2016,-81.7532
87,33.2016,-81.7532
88,33.2016,-81.7532
89,35.93333333,103.25
90,35.93333333,103.25
91,35.93333333,103.25
92,35.93333333,103.25
93,35.93333333,103.25
94,35.93333333,103.25
95,35.93333333,103.25
96,35.93333333,103.25
97,36.41666667,104.3833333
98,36.41666667,104.3833333
99,36.41666667,104.3833333
100,36.41666667,104.3833333
101,36.41666667,104.3833333
102,36.41666667,104.3833333
103,36.41666667,104.3833333
104,36.41666667,104.3833333
105,38.14111111,-78.78444444
106,38.14111111,-78.78444444
107,38.16222,-78.85436
108,38.14111111,-78.78444444
109,38.16222,-78.85436
110,33.2852,-81.8586
111,33.2016,-81.7532
112,33.2852,-81.8586
113,33.2016,-81.7532
114,43.54594,-80.25599
115,43.5152,-80.2357
116,43.5046,-80.2303
117,43.5085,-80.2307
118,43.5145,-80.2281
119,38.14111111,-78.78444444
120,38.16222,-78.85436
121,38.14111111,-78.78444444
122,38.16222,-78.85436
123,38.14111111,-78.78444444
124,38.16222,-78.85436
125,38.14111111,-78.78444444
126,38.16222,-78.85436
127,61.1979,24.8196
128,61.1979,24.8196
129,61.1979,24.8196
130,61.1979,24.8196
131,61.1979,24.8196
132,61.1979,24.8196
133,61.1979,24.8196
134,61.1979,24.8196
135,61.1979,24.8196
136,61.1979,24.8196
137,61.1979,24.8196
138,61.1979,24.8196
139,61.1979,24.8196
140,60.3952,25.6606
141,60.3952,25.6606
142,60.3952,25.6606
143,60.3952,25.6606
144,60.3952,25.6606
145,60.3952,25.6606
146,60.3952,25.6606
147,60.3952,25.6606
148,60.3952,25.6606
149,60.3952,25.6606
150,60.3952,25.6606
151,60.3952,25.6606
152,60.2136,24.9881
153,60.2136,24.9881
154,60.2136,24.9881
155,60.2136,24.9881
156,61.6183,23.2159
157,61.6183,23.2159
158,61.6183,23.2159
159,62.5593,23.5347
160,62.5593,23.5347
161,62.5593,23.5347
162,62.5593,23.5347
163,46.1386,15.0031
164,46.1386,15.0031
165,46.0631,15.2878
166,46.0631,15.2878
167,46.0501,14.5068
168,46.0501,14.5068
169,46.0501,14.5068
170,46.0501,14.5068
171,46.0501,14.5068
172,46.0501,14.5068
173,46.0501,14.5068
174,46.0486,14.5169
175,46.0486,14.5169
176,46.0486,14.5169
177,46.0486,14.5169
178,46.0486,14.5169
179,46.0486,14.5169
180,46.0486,14.5169
181,46.0486,14.5169
182,46.0486,14.5169
183,46.0024,14.0273
184,46.0024,14.0273
185,46.0024,14.0273
186,46.0024,14.0273
187,46.0024,14.0273
188,46.0024,14.0273
189,46.0024,14.0273
190,43.84875,-72.40591
191,43.89587,-72.33396
192,43.79455,-72.3863
193,43.83337,-72.27532
194,43.88787,-72.31382
195,43.70659,-72.45939
196,43.84875,-72.40591
197,43.89587,-72.33396
198,43.79455,-72.3863
199,43.83337,-72.27532
200,43.88787,-72.31382
201,43.70659,-72.45939
202,43.84875,-72.40591
203,43.89587,-72.33396
204,43.79455,-72.3863
205,43.83337,-72.27532
206,43.88787,-72.31382
207,43.70659,-72.45939
208,43.70659,-72.45939
209,43.70659,-72.45939
210,43.70659,-72.45939
211,43.70659,-72.45939
212,50.2636,19.4359
213,50.2636,19.4359
214,50.2636,19.4359
215,50.2636,19.4359
216,50.2636,19.4359
217,50.2636,19.4359
218,50.2636,19.4359
219,50.2636,19.4359
220,50.2636,19.4359
221,50.2636,19.4359
222,50.2636,19.4359
223,50.3679,19.5127
224,50.3679,19.5127
225,50.3679,19.5127
226,50.3679,19.5127
227,50.3679,19.5127
228,50.3679,19.5127
229,50.3679,19.5127
230,50.3679,19.5127
231,50.3679,19.5127
232,50.3679,19.5127
233,50.3679,19.5127
234,-28.59083333,-49.4525
235,-28.6075,-49.58
236,19.18666667,-100.4363889
237,19.18666667,-100.4363889
238,19.18666667,-100.4363889
239,19.18666667,-100.4363889
240,33.196434,-81.741495
241,33.199509,-81.738389
242,33.29398,-81.77819
243,33.2852,-81.8586
244,33.196434,-81.741495
245,33.199509,-81.738389
246,33.29398,-81.77819
247,33.2852,-81.8586
248,16.67861111,98.59333333
249,16.67861111,98.59333333
250,16.67861111,98.59333333
251,16.67861111,98.59333333
252,16.75361111,98.59027778
253,16.75361111,98.59027778
254,16.75361111,98.59027778
255,16.75361111,98.59027778
256,42.0343,24.4704
257,42.0343,24.4704
258,42.1561,24.8973
259,42.1561,24.8973
260,33.341051,-81.722982
261,33.200012,-81.756091
262,33.218854,-81.558541
263,33.34179,-81.67245
264,33.26218,-81.63215
265,33.26496,-81.63262
